Number;task1-flu;task1-orig;task1-ela;task1-res;task2-flu;task2-orig;task2-abs;task3-flu;task3-orig;task3-abs;task3-res;task4-orig;task4-abs;task4-res;task5-flu;task5-orig;task5-ela;task5-abs;task5-res;TOTAL FLU;TOTAL ORIGIN;TOTAL ELAB;TOTAL ABS;TOTAL RES
1;3;2;3;2;5;4;3;4;2;2;2;3;2;3;5;4;6;3;3;17;15;9;10;10
2;3;2;3;2;2;3;2;3;2;1;3;1;4;2;5;3;5;2;3;13;11;8;9;10
3;4;2;4;1;1;4;2;2;3;4;3;0;0;0;8;5;6;5;5;15;14;10;11;9
4;5;4;5;5;3;2;2;6;4;3;4;1;3;2;8;3;8;0;3;22;14;13;8;14
5;2;5;1;3;2;2;4;3;3;3;2;3;3;1;4;5;3;2;3;11;18;4;12;9
6;3;2;3;2;1;1;3;3;3;4;4;0;0;0;0;0;0;0;0;7;6;3;7;6
7;1;1;1;1;1;1;2;4;2;3;3;2;0;1;4;2;3;2;4;10;8;4;7;9
8;3;1;3;1;1;2;3;3;3;3;4;2;3;4;6;4;6;1;3;13;12;9;10;12
9;2;1;2;1;1;1;2;2;1;2;2;1;1;1;8;5;8;4;5;13;9;10;9;9
10;4;5;4;4;5;4;4;12;8;4;4;2;4;2;0;0;0;0;0;21;19;4;12;10
11;2;3;2;3;1;2;1;3;4;3;4;0;0;0;0;0;0;0;0;6;9;2;4;7
12;4;1;3;1;8;5;3;9;4;4;3;4;4;5;8;4;6;3;3;29;18;9;14;12
13;3;1;3;1;3;3;3;3;2;3;2;4;2;4;2;1;2;1;3;11;11;5;9;10
14;8;6;7;4;6;5;4;10;8;4;5;0;0;0;0;0;0;0;0;24;19;7;8;9
15;3;2;2;3;5;4;3;16;9;4;5;1;2;1;0;0;0;0;0;24;16;2;9;9
16;7;5;6;2;6;4;4;7;6;3;4;3;3;4;2;2;2;3;4;22;20;8;13;14
17;4;2;2;2;4;3;4;8;6;4;3;2;3;2;0;0;0;0;0;16;13;2;11;7
18;5;3;5;3;6;5;3;4;3;2;4;2;4;4;1;1;1;2;2;16;14;6;11;13
19;5;2;4;2;5;4;3;6;3;3;2;2;3;4;0;0;0;0;0;16;11;4;9;8
20;4;1;3;2;1;2;3;6;5;3;4;3;3;5;8;5;8;3;3;19;16;11;12;14
21;2;1;1;1;2;1;2;1;2;2;3;2;1;2;1;2;1;2;4;6;8;2;7;10
22;2;2;2;1;5;4;4;4;4;4;5;2;3;2;7;5;7;4;2;18;17;9;15;10
23;1;0;1;0;2;1;1;3;2;2;2;1;3;1;1;1;1;3;2;7;5;2;9;5
